SNO,FIN_YR,INV_NO,BASIC_AMT,SER_TAX_RATE,SER_TAX,ED_CESS,HED_CESS,TOT_AMT,TRN_DESC,TRN_TYPE,INV_NO1,BILL_QTY,LOG_QTY,LOG_RED,IT_PENALITY,TRN_PENALITY
1,2007-08,52713,96856,,11623,232,NULL,108711,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
2,2007-08,52714,1197468,,143696,2874,1437,1345475,DATA ENTRY OF REGIS.FORM,,,,,,,
3,2007-08,52715,5404,,649,13,6,6072,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
4,2007-08,52716,925125,,111015,2220,1110,1039470,DATA ENTRY OF REGIS.FORM,,,,,,,
5,2007-08,52717,4129,,495,10,5,4639,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
6,2007-08,52718,130,,15,1,NULL,146,DATA ENTRYOF RETURNSPTEC,,,,,,,
7,2007-08,52719,1144715,,137366,2747,1373,1286201,DATA ENTRY OF REGIS.FORM,,,,,,,
8,2007-08,52720,1003252,,120390,2408,1204,1127254,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
9,2007-08,52721,194,,23,1,NULL,218,DATA ENTRYOF RETURNSPTEC,,,,,,,
10,2007-08,52722,681748,,81810,1636,818,766012,DATA ENTRY OF REGIS.FORM,,,,,,,
11,2007-08,52723,2901845,,348222,6964,3482,3260513,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
12,2007-08,52724,4665,,559,12,6,5242,DATA ENTRYOF RETURNSPTEC,,,,,,,
13,2007-08,52725,10672,,1281,26,13,11992,DATA ENTRY OF FORMS UTILIZATION,,,,,,,
14,2007-08,52726,526076,,63129,1263,632,591100,DATA ENTRY OF REGIS.FORM,,,,,,,
15,2007-08,52727,5762256,,691471,13829,6915,6474471,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
16,2007-08,52728,1239365,,148724,2974,1487,1392550,DATA ENTRYOF RETURNSPTEC,,,,,,,
17,2007-08,52729,373,,44,1,1,419,DATA ENTRY OF FORMS UTILIZATION,,,,,,,
18,2007-08,52730,501966,,60236,1205,602,564009,DATA ENTRY OF REGIS.FORM,,,,,,,
19,2007-08,52731,8341493,,1000979,20020,10010,9372502,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
20,2007-08,52732,2149045,,257885,5158,2579,2414667,DATA ENTRYOF RETURNSPTEC,,,,,,,
21,2007-08,52733,1537,,184,4,2,1727,DATA ENTRY OF FORMS UTILIZATION,,,,,,,
22,2007-08,52734,425101,,51013,1020,510,477644,DATA ENTRY OF REGIS.FORM,,,,,,,
23,2007-08,52735,5777018,,693242,13865,6932,6491057,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
24,2007-08,52736,1518816,,182258,3645,1823,1706542,DATA ENTRYOF RETURNSPTEC,,,,,,,
25,2007-08,52737,4195,,503,10,5,4713,DATA ENTRY OF FORMS UTILIZATION,,,,,,,
26,2007-08,52738,573005,,68761,1375,687,643828,DATA ENTRY OF REGIS.FORM,,,,,,,
27,2007-08,52739,8362477,,1003497,20070,10035,9396079,DATA ENTRYOF RETURNS EXCLDING PTEC,,,,,,,
28,2007-08,52740,1976089.356,,237131,4743,2371,2220334.356,DATA ENTRYOF RETURNSPTEC,,,,,,,
29,2007-08,52741,9355,,1123,22,11,10511,DATA ENTRY OF FORMS UTILIZATION,,,,,,,
30,2007-08,52744,687896.9384,,82547.63261,1650.952652,825.4763261,772921,DATE ENTRYOF REGISTRATION,,,,,,,
31,2007-08,52745,8619060.164,,1034287.22,20685.74439,10342.8722,9684376,DATA ENTRY OF RETURNS,,,,,,,
32,2007-08,52746,1636445.354,,196373.4425,3927.46885,1963.734425,1838710,DATE ENTRY OF PTEC CHALLANS,,,,,,,
33,2007-08,52747,638380.2065,,76605.62478,1532.112496,766.0562478,717284,DATE ENTRYOF REGISTRATION,,,,,,,
34,2007-08,52748,8068369.527,,968204.3432,19364.08686,9682.043432,9065620,DATA ENTRY OF RETURNS,,,,,,,
35,2007-08,52749,1513700.605,,181644.0726,3632.881452,1816.440726,1700794,DATE ENTRY OF PTEC CHALLANS,,,,,,,
36,2007-08,52750,699547.8818,,83945.74582,1678.914916,839.4574582,786012,DATE ENTRYOF REGISTRATION,,,,,,,
37,2007-08,52751,7667038,,920044.56,18400.8912,9200.4456,8614683.897,DATA ENTRY OF RETURNS,,,,,,,
38,2007-08,52752,759326.2727,,91119.15272,1822.383054,911.1915272,853179,DATE ENTRY OF PTEC CHALLANS,,,,,,,
39,2007-08,52753,1163050.018,,139566.0021,2791.320043,1395.660021,1306803,DATE ENTRY OF FORMS UTILIZATION,,,,,,,
40,2007-08,52754,1645461.018,,197455.3222,3949.106444,1974.553222,1848840,DATEA ENTRY OF PTEC,,,,,,,
41,2007-08,52755,7744917.23,,929390.0676,18587.80135,9293.900676,8702189,DATA ENTRY OF RETURNS,,,,,,,
42,2007-08,52756,8568438.056,,1028212.567,20564.25133,10282.12567,9627497,DATA ENTRY OF REGI.&FORMS UTILIZATION,,,,,,,
43,2007-08,52757,11369943.93,,1364393.272,27287.86543,13643.93272,12775269,PTEC PRINTING & DESPATCH,,,,,,,
44,2007-08,52758,25010251.87,,3001230.224,60024.60449,30012.30224,28101519,DATA ENTRY OF REGISTRATION,,,,,,,
45,2007-08,52759,33465662.16,,4015879.459,80317.58918,40158.79459,37602018,DATA ENTRY OF RETURNS,,,,,,,
46,2007-08,52760,5780469.918,,693656.3902,13873.1278,6936.563902,6494936,DATA ENTRY OF PTEC,,,,,,,
47,2007-08,52761,9351617.124,,1122194.055,22443.8811,11221.94055,10507477,DATE ENTRY OF FORMS UTILIZATION,,,,,,,
48,2007-08,52762,53317440.37,,6398092.844,127961.8569,63980.92844,59907476,DATA ENTRY OF ANNUAL RETURNS,,,,,,,
49,2007-08,52763,200000,,24000,480,240,224720,PRINTING OF PROSECUTION NOTICES,,,,,,,
50,2008-09,52702,766865,NULL,92023.8,1840.476,920,861649.276, Data Entry of Registation from 1-04-2008 to 30-04-2008,1,NULL,0,0,0,0,0
51,2008-09,52703,7729761,NULL,927571.32,18551.4264,9275.7132,8685159.46, Data Entry of Returns Cum Challans excl   PTEC  from 01-04-2008 to 30-04-2008 ,2,NULL,0,0,0,0,0
52,2008-09,52704,1330943,NULL,159713.16,3194.2632,1597.1316,1495447.555, Data Entry of Returns Cum Challans for   PTEC  from 01-04-2008 to 30-04-2008 ,3,NULL,0,0,0,0,0
53,2008-09,52705,241999,NULL,29039.88,580.7976,290.3988,271910.0764, Data Entry of forms utilisation from 1-04-2008 to 30-04-2008,4,NULL,0,0,0,0,0
54,2008-09,52706,921079,NULL,110529.48,2210.5896,1106,1034925.07, Data Entry of Registation from 1-05-2008 to 31-05-2008,1,NULL,0,0,0,0,0
55,2008-09,52707,8105265,NULL,972631.8,19452.636,9726.318,9107075.754, Data Entry of Returns Cum Challans  excl   PTEC  from 01-05-2008 to 31-05-2008 ,2,NULL,0,0,0,0,0
56,2008-09,52708,2109743,NULL,253169.16,5063.3832,2531.6916,2370507.235, Data Entry of Returns Cum Challans for   PTEC  from 01-05-2008 to 31-05-2008 ,3,NULL,0,0,0,0,0
57,2008-09,52709,688314,NULL,82597.68,1651.9536,825.9768,773389.6104, Data Entry of forms utilisation from 1-05-2008 to 31-05-2008,4,NULL,0,0,0,0,0
58,2008-09,52710,798743,NULL,95849.16,1916.9832,958.4916,897467.6348, Data Entry of Registation from 1-06-2008 to 30-06-2008,1,NULL,0,0,0,0,0
59,2008-09,52711,8488168,NULL,1018580.16,20371.6032,10185.8016,9537305.565, Data Entry of Returns Cum Challans  excl   PTEC  from 01-06-2008 to 30-06-2008 ,2,NULL,0,0,0,0,0
60,2008-09,52712,1553661,NULL,186439.32,3728.7864,1864.3932,1745693.5, Data Entry of Returns Cum Challans for   PTEC  from 01-06-2008 to 30-06-2008 ,3,NULL,0,0,0,0,0
61,2008-09,52713,404591,NULL,48550.92,971.0184,485.5092,454598.4476, Data Entry of forms utilisation from 1-06-2008 to 30-06-2008,4,NULL,0,0,0,0,0
62,2008-09,52714,628670,NULL,75440.4,1508.808,754.404,706373.612, Data Entry of Registation from 1-07-2008 to 31-07-2008,1,NULL,0,0,0,0,0
63,2008-09,52715,8201773,NULL,984212.76,19684.2552,9842.1276,9215512.143, Data Entry of Returns Cum Challans excl   PTEC  from 01-07-2008 to 31-07-2008 ,2,NULL,0,0,0,0,0
64,2008-09,52716,1694778,NULL,203373.36,4067.4672,2033.7336,1904252.561, Data Entry of Returns Cum Challans for   PTEC  from 01-07-2008 to 31-07-2008 ,3,NULL,0,0,0,0,0
65,2008-09,52717,391635,NULL,46996.2,939.924,469.962,440041.086, Data Entry of forms utilisation from 1-07-2008 to 31-07-2008,4,NULL,0,0,0,0,0
66,2008-09,52718,575432,NULL,69051.84,1381.0368,690.5184,646555.3952, Data Entry of Registation from 1-08-2008 to 31-08-2008,1,NULL,0,0,0,0,0
67,2008-09,52719,7705060,NULL,924607.2,18492.144,9246.072,8657405.416, Data Entry of Returns Cum Challans excl   PTEC  from 01-08-2008 to 31-08-2008 ,2,NULL,0,0,0,0,0
68,2008-09,52720,1591176,NULL,190941.12,3818.8224,1909.4112,1787845.354, Data Entry of Returns Cum Challans for  PTEC  from 01-08-2008 to 31-08-2008 ,3,NULL,0,0,0,0,0
69,2008-09,52721,686557,NULL,82386.84,1647.7368,823.8684,771415.4452, Data Entry of forms utilisation from 1-08-2008 to 31-08-2008,4,NULL,0,0,0,0,0
70,2008-09,52722,610870,NULL,73304.4,1466.088,733.044,686373.532, Data Entry of Registation from 1-09-2008 to 30-09-2008,1,NULL,0,0,0,0,0
71,2008-09,52723,8546626,NULL,1025595.12,20511.9024,10255.9512,9602988.974, Data Entry of Returns Cum Challans excl  PTEC  from 01-09-2008 to 30-09-2008 ,2,NULL,0,0,0,0,0
